Stress Voltage,Cycles to Breakdown
2.14,-7.0
2.42,-5.698970004336019
2.49,-5.477121254719663
2.66,-4.477121254719663
2.7922,-3.6989700043360187
2.8,-3.845098040014257
2.9,-3.0
2.9572,-2.4771212547196626
2.96,-2.0
3.0,-2.5944947773763936
3.0,-2.5007212701009003
2.888888888888889,-3.222928342976919
3.0,-2.589433812729798
2.3333333333333335,-6.1533808887801085
2.0,-7.4710660228689605
2.4444444444444446,-5.666142347163897
3.0,-2.5829580325951835
2.888888888888889,-3.17090050047614
3.0,-2.559445335106888
